iter	Logloss
0	0.6773037502
1	0.6622179304
2	0.6462127141
3	0.6292857579
4	0.6189501626
5	0.6058798654
6	0.5927725656
7	0.5798252651
8	0.5647423335
9	0.5528568268
10	0.5415248871
11	0.5298351833
12	0.5215685163
13	0.5122150966
14	0.5038264683
15	0.4930233547
16	0.4800306048
17	0.4725160871
18	0.462530899
19	0.4526547296
20	0.4428359168
21	0.4326013565
22	0.4260259356
23	0.4161724636
24	0.4078890664
25	0.4018930435
26	0.3958429609
27	0.3851009914
28	0.3795428957
29	0.3709309169
30	0.3658361707
31	0.3611838205
32	0.355235999
33	0.3464116778
34	0.3361131123
35	0.3298636845
36	0.3241212572
37	0.3173409053
38	0.3125670297
39	0.3077334268
40	0.3018136978
41	0.2967401777
42	0.2913417816
43	0.2861919131
44	0.2818178994
45	0.2769674029
46	0.2707586288
47	0.2678706578
48	0.2640950339
49	0.2590840476
50	0.2559001105
51	0.2517046792
52	0.2480573382
53	0.2449332918
54	0.2401137761
55	0.2362188612
56	0.2336738041
57	0.2303375517
58	0.2261645317
59	0.2222472872
60	0.2193319457
61	0.2166476113
62	0.2141022546
63	0.2107208524
64	0.2061337471
65	0.203343623
66	0.2008524214
67	0.1973454339
68	0.1950015204
69	0.1922208514
70	0.1897507395
71	0.1870698656
72	0.1839156015
73	0.181045505
74	0.179279123
75	0.1770196778
76	0.1750587736
77	0.1728490285
78	0.1709225382
79	0.1687488556
80	0.1665596826
81	0.1637886729
82	0.1612886838
83	0.1589022364
84	0.1568001066
85	0.1550362996
86	0.1531217303
87	0.1515018463
88	0.1502714702
89	0.1482852391
90	0.1456072262
91	0.1442171097
92	0.1417985099
93	0.1403168815
94	0.1385286876
95	0.1366485187
96	0.1349395071
97	0.1333361081
98	0.1316238403
99	0.1305415971
100	0.1292419706
101	0.1273472513
102	0.125541687
103	0.1242783683
104	0.1226548467
105	0.1211570467
106	0.1202790942
107	0.1192262377
108	0.1179852077
109	0.1170123645
110	0.1158072472
111	0.1148491178
112	0.1136040688
113	0.1122515815
114	0.1115283694
115	0.11052992
116	0.1091467449
117	0.1079983643
118	0.1070421628
119	0.1064093454
120	0.1054821219
121	0.1047054972
122	0.1038096564
123	0.1028651101
124	0.1022337505
125	0.100810303
126	0.09991185325
127	0.09941261836
128	0.09843711853
129	0.09729841777
130	0.09664631571
131	0.09565704891
132	0.09483077185
133	0.09409632002
134	0.09322539057
135	0.09202935355
136	0.09104886055
137	0.09037570272
138	0.08980271476
139	0.08879117966
140	0.08829620225
141	0.08729011672
142	0.08666654314
143	0.08589228221
144	0.0852218696
145	0.08472272328
146	0.08421396528
147	0.08380411012
148	0.08261295046
149	0.08189196587
150	0.08115549769
151	0.08055159705
152	0.08009781156
153	0.07947479657
154	0.07895656313
155	0.0783666747
156	0.07791064126
157	0.07725023542
158	0.07665852138
159	0.07622212682
160	0.07538170133
161	0.07491733006
162	0.07442181451
163	0.07367425646
164	0.07324656078
165	0.07280500957
166	0.07196217946
167	0.07154695647
168	0.07096851894
169	0.07050833702
170	0.07009004865
171	0.06963934898
172	0.06890943391
173	0.06842246737
174	0.06783328738
175	0.06745387486
176	0.06689974921
177	0.06646842957
178	0.06604779107
179	0.06577008792
180	0.06538664954
181	0.0649971417
182	0.06450982094
183	0.06396781376
184	0.06343086788
185	0.06299693244
186	0.06264618465
187	0.06233397893
188	0.06179082053
189	0.061395795
190	0.06105904579
191	0.06075233732
192	0.06006822586
193	0.0596078464
194	0.05929420335
195	0.05900818961
196	0.05863631112
197	0.05828836986
198	0.05785653251
199	0.05732851028
